target,tweet,stance
Foster care brings more harm than good,another positive within the foster care system is the environmental change.,-1
We should ban naturopathy,any alternative medicine is in doubt because do not have evidence in western medicine and their result could be useful as well opposite.,1
We should ban naturopathy,"any alternative medicine, such as naturopathy, is valid if there is a chance of giving a sufferer relief from pain.",-1
We should ban cosmetic surgery for minors,any cosmetic surgery should be banned because violate natural looks individuals specially with minors.,1
We should subsidize student loans,"any form of support to the education of new generations, is to ensure the continuous development of the nation.",1
We should ban cosmetic surgery for minors,"any individual, irrespective of age, has the right to decide what to do with their body.",-1
We should abolish capital punishment,any kind of punishment to the kids is harassment and should be banned by the law.,1
We should end racial profiling,any means necessary to narrow down suspects should be used when trying to solve a crime.,-1
Entrapment should be legalized,"any method that catches a criminal should be utilized, don't provide protections for them",1
Assisted suicide should be a criminal offence,any murder should be classified as the one and should be under criminal offence register.,1
We should subsidize stay-at-home dads,any person who stays home and takes cares of kids should be subsidized as parenting is a full time job,1
We should close Guantanamo Bay detention camp,any prison system that inflicts torture is against the laws of the u.s.a. and should be stopped.,1
We should fight for the abolition of nuclear weapons,"Any state or non-state actor having nuclear weapons creates fear for other countries that pushes them to develop their own nuclear weapons, creating a cycle of development that can only be ended through abolition.",1
We should end racial profiling,"any statistical study and classification methods that can improve detection rates and cut crime are valid, irrespective of how ethically sensitive they might be.",-1
We should subsidize vocational education,"any subsidy for education after school is unnecessary, the right to access education ends at 16 at which point people can fund their own adult decisions",-1
We should subsidize Wikipedia,any subsidy would bring with it a potentially harmful influence from outside agencies with an agenda - the neutrality of the information presented may be compromised.,-1
We should subsidize stay-at-home dads,any system that rewards parenthood is often abused by lower income families and this leads to more systemic and societal failure.,-1
Assisted suicide should be a criminal offence,any type of helping kill someone is murder even if the person wishes to die. therefore it should be punished by law,1
We should fight for the abolition of nuclear weapons,"Any use of nuclear weapons in war would result in mutually assured destruction and likely the devastation of the entire planet, and any amount of conventional warfare is preferable to that outcome.",1
We should fight for the abolition of nuclear weapons,"Any use of nuclear weapons violates international laws of war because they indiscriminately kill civilians and cause long term environmental damage. Given that there is no legitimate use, we should abolish them.",1
We should fight for the abolition of nuclear weapons,any weapon that can destroy the world should be eliminated,1
We should fight for the abolition of nuclear weapons,any weapon that is strong enough to destroy the whole planet is completely unnecessary.,1
We should subsidize Wikipedia,anyone can edit the content so it can not be reliable to be correct,-1
We should subsidize Wikipedia,"anyone can edit the pages, so the information is not guarenteed to be correct.",-1
We should subsidize Wikipedia,anyone can edit wikipedia which can sometimes not be the truth,-1
We should fight for the abolition of nuclear weapons,Anyone remotely familiar with the game theory knows that nuclear disarmament is not probable given the actors' preferences and risks. We should concentrate our efforts on regulating the existing arsenals and stopping proliferation instead.,-1
We should ban telemarketing,anyone that is bothered by telemarketing can block these types of calls without anyone having to ban all telemarketing,-1
Entrapment should be legalized,anyone who commits a crime should be prosecuted,1
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,1
We should abolish safe spaces,anyone who wants to behave in a manner not permitted in the safe space is  free to leave,-1
We should legalize organ trade,"Anyone who wants to sell an organ would be made fully aware of the risks involved, in which case they should be allowed to make that choice.",1
We should subsidize vocational education,anyone with an aptitude for a necessary service profession should be encouraged to pursue it,1
We should ban cosmetic surgery for minors,"anyone, regardless of their age, should be able to take the decision to alter their body by means of cosmetic surgery if they think they will look or feel better as a result of it.",-1
We should abolish intellectual property rights,anything that has been invented should be all of our property.,-1
We should subsidize embryonic stem cell research,anything what could be harmful for people health and it`s not natural should be banned and restricted.,-1
Surrogacy should be banned,"anything what is natural, by god provided for couples to have a kids is right and any other should be prohibited.",1
We should ban naturopathy,"anything which brings relief, even if that is akin to a placebo effect, can only be a good thing to those in need.",-1
We should subsidize student loans,apart from what makes parents more lazy because they should give all student benefits to their children,-1
We should subsidize space exploration,apce exploration is important in order to live in other planets,1
We should subsidize embryonic stem cell research,approving such a action will help people who can`t have a kids natural way to have them and making them happy and successful.,1
We should ban the use of child actors,are we going to make movies without children at all?  banning child actors does not seem reasonable in this billion dollar industry.,-1
We should subsidize journalism,aren’t subsidies opening the door for manipulating journalists and inducing media bias in favor of the government?,-1
Entrapment should be legalized,"arguably, entrapment is a devious means to trap not only criminals but others who might be tempted by entrapment who would not otherwise have committed a crime.",-1
We should abolish the right to keep and bear arms,Arms are very bad for the whole of society when they are in the hands of bad persons. giving anyone the right to keep and bear arms puts society in danger,1
We should abolish the right to keep and bear arms,arms in the hands of private people can lead to more violence in our society and we should ban any of them,1
We should fight for the abolition of nuclear weapons,Arms races which result from the presence of nuclear weapons increase danger as states are more likely to entrust nukes to less experienced military personnel and have more difficulty tracking them.,1
We should abolish intellectual property rights,art would probably be a lot better without intellectual property rights,1
We should subsidize Wikipedia,"articles on wikipedia can be taken over by a few rogue accounts, making edits faster than the editing team can delete them.",-1
We should abolish intellectual property rights,artists and creaters need to eat and earn money,-1
We should oppose collectivism,"as a capitalist nation, we should embrace that form of economy and democracy since it was the ideology our country was founded on",-1
We should subsidize space exploration,"as a country, we are falling behind in the space exploration race due to financial constraints",1
We should adopt an austerity regime,as a last ditch effort the government should be allowed to cut programs and spending to stabilize the economy to prevent failing.,1
We should oppose collectivism,as a nation we need to prioritize the majority and not focus on the small things,-1
We should end affirmative action,"As a principal, college admittance and job offers should be based on people's qualifications, rather than their gender and the color of their skin.",1
We should subsidize Wikipedia,"as anyone can effectively edit wikipedia pages, to subsidise it would be a nonsense exercise.",-1
We should subsidize vocational education,"As automation increases, traditional trades that vocational education prepare people for will become rarer and less likely to provide gainful, long-term employment, and the government shouldn't incentivize  people to follow that career path.",-1
Foster care brings more harm than good,As concluded by the California-based Little Hoover Commission (1992) regarding children placed in Foster Care children can come to harmand even die while supposedly under the protection of foster care,1
We should subsidize vocational education,"As employment becomes more and more specialized, people are increasingly going to need not only university education, but post-graduate education as well to remain competitive in the workforce.",1
We should end racial profiling,"as far as these threats are being directed towards our country, racial profiling might be the only way to keep us safe from incoming threats from other parts of the world.",-1
Homeopathy brings more harm than good,as homeopathic medicines generally contain no active ingredient they are likely to be completely harmless.,-1
Homeopathy brings more harm than good,"as homeopathy is unregulated, it can be dangerous because nobody really knows the quality, safety or efficacy of the products that are on sale.",1
The vow of celibacy should be abandoned,as human creatures sex is a natural and in our nature.  celibacy just leads to repressed and unhappy people.,1
We should oppose collectivism,as individuals we have a right to not be grouped into one thought process.,1
We should legalize organ trade,as it could bring about an end to the black market sale of organs.,1
We should legalize sex selection,as it does away with people continuously having children so that they can get the gender they want.,1
We should legalize organ trade,"as it has its negative side, this will also increase the delinquency of minors for organ trafficking and this is a very bad problem.",-1
Foster care brings more harm than good,as it is a temporary care it might be difficult for children to separate after they bonded with their foster parents,1
We should fight for the abolition of nuclear weapons,as it is becoming increasingly obvious that they are too dangerous to keep. they cause devastating destruction and in the wrong hands could cause the end of the world.,1
We should subsidize Wikipedia,"as it is the first choice for those seeking information, plus it struggles surviving on donations alone.",1
We should end mandatory retirement,as life expectancy and healthy ageing continue to grow mandatory retirement no longer makes sense.,1
We should legalize polygamy,"as long as all parties are agree, there should not be any problem",1
We should legalize polygamy,as long as all parties are willing then polygamy should be legal,1
We should ban the use of child actors,as long as chicken are properly supervised why not allow them to participate in acting,-1
We should ban the use of child actors,"as long as child actors are protected and monitored, their participation in the acting industry should be allowed.",-1
We should abolish capital punishment,"As long as death penalty is kept, this confirms that our society is founded on violence, and that violence and brute force solve. This mindset perpetuates the circle of violence and doesn't allow to escape it.",1
We should ban naturopathy,as long as it does not harm anyone it should not be banned,-1
We should ban the use of child actors,as long as it doesn't interfere with their schooling and they are well looked after i don't see a problem.,-1
We should subsidize journalism,as long as it is fair and unbiased.,1
We should ban whaling,"as long as it is regulated so it is sustainable, there is no reason for us not to harvest the bounty of the ocean.",-1
We should fight for the abolition of nuclear weapons,"As long as nuclear weapons exist people will confuse missile-like objects in the sky for nukes, which causes massive public terrors that are very bad for states and individual people.",1
We should fight for the abolition of nuclear weapons,"as long as nuclear weapons exist, the entire world has to worry about nations deciding to fire them at another or terrorists getting hold of them and causing disaster",1
We should cancel pride parades,"as long as parade participants are peaceful and don't force other people to adhere to their lifestyle, they should be allowed to have a parade for whatever they want.",-1
We should ban the use of child actors,"as long as protections are in place to care for vulnerable youngsters, child actors can be just as fulfilled and respected as their elders",-1
We should ban the use of child actors,"as long as regulations are followed to protect the children, it should be allowed. they have an opportunity to save money for a head start on adulthood.",-1
We should end mandatory retirement,as long as someone is capable of doing his job it should be his choice when to retire and not the decision of some bureaucrat.,1
We should ban the use of child actors,as long as the child is not forced and wants to act then they should be allowed,-1
We should ban the use of child actors,"as long as the child really wants to do it and is being properly supervised, they should be allowed to act.",-1
Homeschooling should be banned,"as long as the children follow a standardised curriculum, homeschooling can be a rewarding experience for some people.",-1
We should ban cosmetic surgery for minors,"as long as the surgery has a specific aim, a realistic chance of success and parental consent there is no valid reason for a ban",-1
We should legalize polygamy,"as long as there is no forced marriages going on and these people absolutely love each other, and the others that person is married to doesn't effect them, why can't we make it legal?",1
We should ban the use of child actors,as long as there is proper protection for child actors there is no reason that they should not be able to perform on screen,-1
We should legalize organ trade,"as long as they are properly informed, someone should be allowed to sell organs for compensation if they so choose.",1
We should ban cosmetic surgery for minors,"as long as they have parental permission, children should be allowed to improve their physical appearance",-1
We should ban cosmetic surgery,"As long as they use an accredited plastic surgeon, people should be able to do whatever they want with their bodies.",-1
We should legalize polygamy,"as long as those entering these relationships are consenting legal age adults, we should legalize polygamy. this life style hurts no one and doesn't hurt society. people should be free to love who they choose.",1
We should ban whaling,"As long as we do not overfish, there are no negative consequences to whaling and no reason to ban it.",-1
We should abolish safe spaces,as long as we have entrenched racist or sexuality based prejudice and violence we continue to need safe places.,-1
We should ban whaling,"as long as whales are not in danger of extinction people should be allowed to use the whales for their oil, blubber, etc. for health supplements, etc.",-1
We should ban whaling,"as long as whales aren't close to extinction, people should be allowed to make their living this way if they wish.",-1
We should adopt a multi-party system,"as many people's views don't fall in line with the two large parties, we can't say the current system is truly representative.",1
We should subsidize stay-at-home dads,as mothers are being pushed out of their homes and back to work rather than being allowed to remain in the carers roles we should not subsidize stay-at-home dads as they are pushing the mothers out.,-1
We should adopt an austerity regime,as our national debt continues to climb i think it's important that we adopt an austerity regime.   we need to cut back spending on everything and fix this massive debt.,1
We should fight urbanization,as our population grows we have to have somewhere to live and urbanization is going to naturally happen as we need more space for people.,-1
We should end mandatory retirement,As people age they automatically become less cognitively and physically responsive. Mandatory retirement makes sure that professions are filled with people who are at their peak of cognitive and physical performance.,-1
We should end mandatory retirement,as people are living longer mandatory retirement is forcing those who can still positively contribute to the workforce  to be sidelined,1
We should oppose collectivism,"As people are randomly born into the world and largely do not choose the community they are born into, they should not be obligated to serve the collective as they did not consent to its existence.",1
We should end mandatory retirement,"As people continue to have children later and later, mandatory retirement prevents people from being able to provide for their family and dependents.",1
We should end mandatory retirement,"as people get older, their reaction and thought processes get slower, their eyesight and hearing worsen. a mandatory retirement age lessens the indignity of being fired due to no longer performing their duties",-1
We should end mandatory retirement,as people live longer and have variable health the concept that all need to retire at a set age is archaic and so we should end mandatory retirement.,1
We should end mandatory retirement,"as quality of life improves and the average lifespan increases, mandatory retirement looks more and more out of step with the modern human life experience.",1
We should abandon marriage,"as society and values change, marriage is no longer as popular as it once was and divorce rates continue to climb.",1
We should fight for the abolition of nuclear weapons,as song as other nations have nuclear weapons we must not surrender our own,-1
We should fight urbanization,"as the global population continues to grow, urbanization is required to ensure that there are enough houses and employment opportunities for society to function.",-1
We should abolish capital punishment,"As the only actor that can legitimately wield the use of force, the state has an reparative obligation to victims and their families to seek retribution against criminals, and this includes the use of capital punishment.",-1
We should adopt gender-neutral language,"as there are many genders out there today, not using  gender-neutral language excludes far more people than in the past.",1
We should abolish safe spaces,as they are a threat to free speech.,1
We should abolish safe spaces,"as they provide a ghetto like existence for minorities, segregating society.  they prevent society from growing and developing tolerance and respect for each individual , encouraging prejudices.",1
We should adopt an austerity regime,"as we are all part of our society and that we have to support our country and elected government and if the government wen to debt or deficit, we are obligate to help it and to support it.",1
We should close Guantanamo Bay detention camp,as we have overcome the isis threat we should close guantanmo bay detention camp.,1
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,1
We should abolish the right to keep and bear arms,"assault rifles, machine guns, and the like were not around when the bill of rights was written.  arms of today are only weapons to use against other people.",1
Assisted suicide should be a criminal offence,assisted sucide is basically murder,1
Assisted suicide should be a criminal offence,assisted suicide allows for a person to die with dignity rather than go through a painful and dehumanizing process.,-1
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,-1
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,-1
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,-1
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,-1
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,-1
Assisted suicide should be a criminal offence,Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere. It is a human right to choose not to suffer with a terminal illness.,-1
Assisted suicide should be a criminal offence,"assisted suicide blurs too many lines with murder - even if the patient ""consents""",1
Assisted suicide should be a criminal offence,assisted suicide can sometimes be the only way to end the unbearable suffering of some people with incurable debilitating illnesses such as motor neurone disease,-1
Assisted suicide should be a criminal offence,assisted suicide could also be called murder as it is enabling another to die so should be a criminal offence.,1
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,1
Assisted suicide should be a criminal offence,Assisted suicide could be taken advantage of by people who wish to profit from the legacy of terminally ill people who are unable to stop these people,1
Assisted suicide should be a criminal offence,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,-1
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,1
Assisted suicide should be a criminal offence,Assisted suicide greatly reduces pain and suffering and gives people dignity in dying and should there for be made legal.,-1
Assisted suicide should be a criminal offence,assisted suicide helps suffering patients end their misery in a nonviolent way.,-1
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,-1
Assisted suicide should be a criminal offence,assisted suicide helps the people in constant pain because of a terminal illness,-1
Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,-1
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,1
Assisted suicide should be a criminal offence,"assisted suicide is a blessing not a crime.  a person who wants to be assisted in this is in great pain or has no ability to be cured,  let someone give the suffering the chance to end it.",-1
Assisted suicide should be a criminal offence,"assisted suicide is a compassionate act meant to end suffering in terminal illness cases - the law needs to protect people in these instances, within a properly regulated framework and strict safeguards.",-1
Assisted suicide should be a criminal offence,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,-1
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,1
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,1
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offense and is a form of assisted murder,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,1
Assisted suicide should be a criminal offence,Assisted suicide is a form of pre meditated murder and should  be proscuted.,1
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,-1
Assisted suicide should be a criminal offence,assisted suicide is a human right and would spare the terminally i'll pain.,-1
Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",-1
Assisted suicide should be a criminal offence,assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,-1
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,-1
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,-1
Assisted suicide should be a criminal offence,assisted suicide is a personal decision and the government should not get involved in people's personal decisions,-1
Assisted suicide should be a criminal offence,assisted suicide is advantageous for those who suffer and no hope to live,-1
Assisted suicide should be a criminal offence,assisted suicide is again the natural rule of life and it should be a criminal offence,1
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,1
Assisted suicide should be a criminal offence,assisted suicide is an act of compassion carried out by those caring for terminally ill individuals in extreme pain - helping with somebody's final wishes simply a form of service.,-1
Assisted suicide should be a criminal offence,assisted suicide is an act where you help and support another to take the life you want to stop existing,-1
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,1
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,1
Assisted suicide should be a criminal offence,"assisted suicide is at best unlawful killing, at worst murder. it must be kept as a criminal offence to protect the right to life.",1
Assisted suicide should be a criminal offence,assisted suicide is at the discretion of the individual who is suffering from terminal illness and should have the right to end their life when they determine fit.,-1
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,1
Assisted suicide should be a criminal offence,assisted suicide is equivocable to murder and one's life ending is determned by god and should be a criminal offence.,1
Assisted suicide should be a criminal offence,assisted suicide is essentially murder and should be punished as so,1
Assisted suicide should be a criminal offence,assisted suicide is heartless and inhumane,1
Assisted suicide should be a criminal offence,assisted suicide is immoral and a crime,1
Assisted suicide should be a criminal offence,assisted suicide is just another form of murder.  murder is illegal so assisted suicide must be illegal as well.,1
Assisted suicide should be a criminal offence,assisted suicide is just another word for murder.,1
Assisted suicide should be a criminal offence,assisted suicide is just helping a person kill a person which seems like i should be a criminal offence.,1
Assisted suicide should be a criminal offence,assisted suicide is just like accessory to murder,1
Assisted suicide should be a criminal offence,Assisted suicide is just murder by another name and it should be punished accordingly.,1
Assisted suicide should be a criminal offence,"assisted suicide is killing by another name - it is far too open to abuse by those with a vested interest, since it is often impossible to accurately interpret the intentions of the individual being 'assisted'.",1
Assisted suicide should be a criminal offence,assisted suicide is killing someone even if it is at their request,1
Assisted suicide should be a criminal offence,assisted suicide is murder and murder is a criminal offense.,1
Assisted suicide should be a criminal offence,assisted suicide is murder and should be banned.,1
Assisted suicide should be a criminal offence,assisted suicide is murder and should be punished as so,1
Assisted suicide should be a criminal offence,assisted suicide is murder and therefore illegal,1
Assisted suicide should be a criminal offence,assisted suicide is murder by another name and should remain illegal,1
Assisted suicide should be a criminal offence,assisted suicide is murder of another and should be considered a criminal offence.,1
Assisted suicide should be a criminal offence,"assisted suicide is murder,  the doctor is giving the weapon to the person with the sole purpose of death.",1
Assisted suicide should be a criminal offence,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,-1
Assisted suicide should be a criminal offence,assisted suicide is not only immoral but is also a form of murder and should be a criminal offence.,1
Assisted suicide should be a criminal offence,assisted suicide is nothing but murder.  you are giving a human the ability to legally kill another.  this should be stopped.  no person should be allowed to cause a death of another.,1
Assisted suicide should be a criminal offence,assisted suicide is nothing short of murder and it should be a criminal offence.,1
Assisted suicide should be a criminal offence,"assisted suicide is really just another word for murder or homicide,",1
Assisted suicide should be a criminal offence,"assisted suicide is sometimes the only solution for some people, we should not take it off.",-1
Assisted suicide should be a criminal offence,assisted suicide is still one person essentially killing another,1
Assisted suicide should be a criminal offence,"assisted suicide is still suicide, which is immoral in all forms.",1
Assisted suicide should be a criminal offence,"assisted suicide is still suicide, which is immoral.",1
Assisted suicide should be a criminal offence,"assisted suicide is still suicide, which is wrong in all forms.",1
Assisted suicide should be a criminal offence,"assisted suicide is still the taking of another's live, irrespective of how it is dressed up - this cannot be a grey area, killing is wrong, and the law needs to take a stance on this to avoid slippery slopes.",1
Assisted suicide should be a criminal offence,assisted suicide is the kindest thing to help a terminal patient to avoid the last few hours or days of their life being a torture and as such it should not be a criminal offence.,-1
Assisted suicide should be a criminal offence,assisted suicide is the relief from excruciating pain for those with terminal illnesses or zero quality of life - it is an act of selfless benevolance which ought to be legally protected.,-1
Assisted suicide should be a criminal offence,assisted suicide is the same as murder and therefore should be illegal.,1
Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,1
Assisted suicide should be a criminal offence,assisted suicide is too risky as someone may not be in the right frame of mind to decide if they really want to die. if you get it wrong then it could end up being murder.,1
Assisted suicide should be a criminal offence,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person,1
Assisted suicide should be a criminal offence,assisted suicide is wrong and we should try to help the person heal rather than kill themselves,1
Assisted suicide should be a criminal offence,"assisted suicide is wrong, none should take someone's life, there is always hope for the future",1
Assisted suicide should be a criminal offence,Assisted suicide may be a good option for patients who are otherwise terminal already and are needlessly suffering.,-1
Assisted suicide should be a criminal offence,"assisted suicide must be allowed.  if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.",-1
Assisted suicide should be a criminal offence,"assisted suicide must exist when people suffer from illnesses and after a thorough evaluation that it is true, otherwise it must be penalized",-1
Assisted suicide should be a criminal offence,assisted suicide only brings problems for the family of the deceased,1
Assisted suicide should be a criminal offence,assisted suicide ought to be a choice for those who are unable to do it for themselves,-1
Assisted suicide should be a criminal offence,assisted suicide ought to be a criminal offence because killing someone isn't right no matter what situation,1
Assisted suicide should be a criminal offence,assisted suicide provides a way for people in pain to end their life and stop suffering. they should be allowed to die with dignity and choose when is right for them.,-1
Assisted suicide should be a criminal offence,assisted suicide should  not be a criminal offence as people with chronic health conditions may not be able to commit sucidice alone but should have the right to choose whether they continue to suffer.,-1
Assisted suicide should be a criminal offence,Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,1
Assisted suicide should be a criminal offence,Assisted suicide should be a criminal offence as if the person cannot make their own decisions and actions then it would be impossible to know if the person helping wasn't just murdering them.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence as it is another form of murder,1
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offence as it is essentially helping to kill someone, manslaughter rules should apply",1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence as it is just another form of murder.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence as it is not a human right to play god and may lead to murders rather than assisted suicide .,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because after they are dead no one will know what actually happened whether it was assisted suicide or if it was murder,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because againts the god's law,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because is aginst the life of person,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it causes the death of a human being just the same as if taken by a criminal.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it could be a murder situation how would you be able to prove that,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it could force some doctors to perform this act without their consent,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it does not allow a person to die a natural death.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it is morally wrong,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it is still considered murder even if the person chooses it.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it is the killing of a living human being the same as from poison or from a gun.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it would be very easy  to murder a vulnerable relative in order to get an inheritance.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing someone is wrong even if they want you to do it,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them,1
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offence because pain makes people do some extreme things, but it shouldn't include death.",1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because that is murder,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because the person is basically killing the other person.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because we cannot kill human beings simply because they have problems.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because what if the person being assisted was in only a bad emotional state which could be cured with professional health.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence for eutanasya,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence for the god's law. god decide your life.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because any sort of suicide (whether assisted or not) is immoral.,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because at the end of the day somebody is dead and you had a hand in it.,1
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offense because death is death, at the end of the day someone is dead and you had a hand in it.",1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because it's just a different name for murder,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because no one should die by suicide,1
Assisted suicide should be a criminal offence,Assisted suicide should be a form of murder or pre meditated murder. People should die naturally not by suicide.,1
Assisted suicide should be a criminal offence,assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.,-1
Assisted suicide should be a criminal offence,Assisted suicide should be allowed for people who are suffering with terminal illnesses,-1
Assisted suicide should be a criminal offence,assisted suicide should be allowed if a person can no longer stand the pain of traditional medical treatment.  it should be a person's right to die.,-1
Assisted suicide should be a criminal offence,assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.,-1
Assisted suicide should be a criminal offence,ASSISTED SUICIDE SHOULD BE ALLOWED TO STOP PEOPLE HAVING TO SUFFER IN PAIN FOR A LONG TIME,-1
Assisted suicide should be a criminal offence,Assisted suicide should be an individual's choice and personal freedom,-1
Assisted suicide should be a criminal offence,assisted suicide should be criminalized as no human being has the right to determine whether another human being lives or dies,1
Assisted suicide should be a criminal offence,assisted suicide should be illegal as it is never morally right to help take a life.,1
Assisted suicide should be a criminal offence,assisted suicide should be legal everywhere because it's wrong to prolong suffering when there is an easy way to bring it to an end.,-1
Assisted suicide should be a criminal offence,assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice,-1
Assisted suicide should be a criminal offence,assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,-1
Assisted suicide should be a criminal offence,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,-1
Assisted suicide should be a criminal offence,assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.,-1
Assisted suicide should be a criminal offence,"assisted suicide should not be a crime. if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.",-1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",-1
Assisted suicide should be a criminal offence,Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.,-1
Assisted suicide should be a criminal offence,Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.,-1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.,-1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to,-1
